parking_id,scenario_id,dimension_code,subscore,weight_applied,weighted_contribution
115,5,DEMAND,7.082669958723983,0.3,2.1248009876171947
58,5,DEMAND,8.36096931447584,0.3,2.5082907943427517
76,5,DEMAND,23.327543181009652,0.3,6.998262954302896
89,5,DEMAND,21.364684524522044,0.3,6.409405357356613
91,5,DEMAND,9.341563715276743,0.3,2.802469114583023
52,2,DEMAND,81.91400215185098,0.3,24.574200645555294
18,2,DEMAND,83.90716413798003,0.3,25.17214924139401
1,2,DEMAND,87.6022292064125,0.3,26.28066876192375
17,2,DEMAND,76.44915879637628,0.3,22.934747638912885
6,2,DEMAND,83.67415560065014,0.3,25.10224668019504
51,2,DEMAND,81.4210944538978,0.3,24.426328336169338
41,2,DEMAND,67.39266635560617,0.3,20.21779990668185
3,2,DEMAND,78.02095273354942,0.3,23.406285820064827
8,2,DEMAND,74.9933366812722,0.3,22.49800100438166
13,2,DEMAND,68.80186296150517,0.3,20.640558888451547
16,2,DEMAND,73.36267224708465,0.3,22.008801674125394
21,2,DEMAND,67.34304679112077,0.3,20.20291403733623
15,2,DEMAND,70.82627236247953,0.3,21.247881708743858
55,2,DEMAND,81.4428900553814,0.3,24.43286701661442
19,2,DEMAND,71.57963704087973,0.3,21.473891112263917
46,2,DEMAND,73.34336231043629,0.3,22.003008693130887
22,2,DEMAND,61.85590767747229,0.3,18.556772303241686
7,2,DEMAND,74.62298693517744,0.3,22.38689608055323
12,2,DEMAND,77.92370930311955,0.3,23.377112790935865
43,2,DEMAND,70.59934188555627,0.3,21.17980256566688
2,2,DEMAND,62.22919402828535,0.3,18.668758208485603
4,2,DEMAND,72.22443068411252,0.3,21.667329205233756
14,2,DEMAND,63.79760397381464,0.3,19.13928119214439
45,2,DEMAND,51.322172403868464,0.3,15.396651721160538
42,2,DEMAND,70.11332988616556,0.3,21.033998965849666
9,2,DEMAND,75.13225479354617,0.3,22.53967643806385
85,2,DEMAND,35.051889157763185,0.3,10.515566747328956
5,2,DEMAND,80.16765723811618,0.3,24.050297171434853
10,2,DEMAND,62.56865235869486,0.3,18.770595707608457
83,2,DEMAND,30.51963874667961,0.3,9.155891624003884
44,2,DEMAND,58.62939942242583,0.3,17.588819826727747
40,2,DEMAND,38.85182823582255,0.3,11.655548470746766
50,2,DEMAND,65.44111873863201,0.3,19.632335621589604
11,2,DEMAND,38.15855652609858,0.3,11.447566957829574
118,2,DEMAND,28.84687932542555,0.3,8.654063797627664
34,2,DEMAND,34.57087286074559,0.3,10.371261858223676
49,2,DEMAND,78.16209407470151,0.3,23.448628222410452
101,2,DEMAND,23.11180041973354,0.3,6.933540125920062
20,2,DEMAND,61.60374118078423,0.3,18.481122354235268
104,2,DEMAND,36.64172294836256,0.3,10.992516884508769
75,2,DEMAND,10.191878853787792,0.3,3.0575636561363373
86,2,DEMAND,29.796456478329706,0.3,8.938936943498911
99,2,DEMAND,29.114297667594037,0.3,8.734289300278212
84,2,DEMAND,9.921633146519287,0.3,2.976489943955786
120,2,DEMAND,16.83775923998316,0.3,5.051327771994948
72,2,DEMAND,27.191762276720752,0.3,8.157528683016226
102,2,DEMAND,26.656075744264648,0.3,7.996822723279394
31,2,DEMAND,28.146348386171013,0.3,8.443904515851303
26,2,DEMAND,24.423494121859584,0.3,7.327048236557875
33,2,DEMAND,21.33977291629675,0.3,6.401931874889025
48,2,DEMAND,79.75488973442346,0.3,23.926466920327037
68,2,DEMAND,19.64328715538016,0.3,5.8929861466140485
53,2,DEMAND,10.928245787562936,0.3,3.278473736268881
36,2,DEMAND,35.37456543487069,0.3,10.612369630461206
47,2,DEMAND,48.038766208971275,0.3,14.411629862691381
90,2,DEMAND,25.52511700522063,0.3,7.6575351015661886
23,2,DEMAND,21.41325868691867,0.3,6.423977606075601
29,2,DEMAND,35.405725312697015,0.3,10.621717593809104
56,2,DEMAND,22.513651791748092,0.3,6.754095537524427
117,2,DEMAND,24.065899415962477,0.3,7.2197698247887425
80,2,DEMAND,34.24145384534328,0.3,10.272436153602984
30,2,DEMAND,23.67819169957536,0.3,7.103457509872608
38,2,DEMAND,27.63066499858505,0.3,8.289199499575515
32,2,DEMAND,42.34861714318533,0.3,12.7045851429556
67,2,DEMAND,24.21811184775808,0.3,7.265433554327424
105,2,DEMAND,26.439007956666774,0.3,7.931702387000032
100,2,DEMAND,33.53673843601762,0.3,10.061021530805286
74,2,DEMAND,9.05183917805066,0.3,2.715551753415198
28,2,DEMAND,21.83876080985671,0.3,6.551628242957013
37,2,DEMAND,30.172422403772455,0.3,9.051726721131736
59,2,DEMAND,11.71356603935138,0.3,3.5140698118054137
95,2,DEMAND,16.85816663470208,0.3,5.057449990410624
63,2,DEMAND,23.599507669134184,0.3,7.079852300740255
93,2,DEMAND,12.251399701886328,0.3,3.675419910565898
87,2,DEMAND,17.80288719632449,0.3,5.340866158897347
27,2,DEMAND,21.887290372596624,0.3,6.566187111778987
65,2,DEMAND,22.750122265420863,0.3,6.825036679626259
61,2,DEMAND,10.588518801482122,0.3,3.1765556404446365
66,2,DEMAND,23.875226421292343,0.3,7.162567926387703
35,2,DEMAND,22.007786541890344,0.3,6.6023359625671025
